epoch;Sigmoid;error_0;Tanh;error_0
1;12,97;4,34225177;21,02;3,825264821
2;12,97;3,792563437;15,44;4,52218896
3;14,61;3,200667649;31,03;5,072495109
4;16,42;2,446577106;31,36;4,724809999
5;17,41;1,817253147;32,35;4,255103864
6;18,88;1,682194974;26,27;4,382995649
7;18,88;2,593703434;29,39;4,75723171
8;19,38;1,630870564;19,21;5,418976876
9;20,36;1,669651339;19,54;5,573429029
10;21,51;1,414484556;25,29;4,923147972
11;24,14;1,504034466;31,03;4,265948491
12;26,27;1,439259111;49,1;4,059335001
13;27,42;1,147889318;39,08;4,710744822
14;28,41;1,600794157;50,57;3,920497239
15;30,38;1,280597822;50,9;3,694608877
16;29,72;1,439823161;42,36;3,994686236
17;30,54;1,349897961;46,14;3,484691109
18;32,18;1,59186432;44,17;3,969946645
19;34,15;1,41100923;52,87;4,13369353
20;33,83;1,355912439;51,72;3,223248746
21;35,3;1,679899355;51,07;3,346962417
22;34,81;1,792775667;62,07;4,015598639
23;36,45;1,466193466;53,53;2,980608005
24;38,92;1,426859232;33,99;4,208091414
25;38,92;1,525939239;47,13;4,720191116
26;40,89;1,325224146;52,87;3,025260885
27;40,56;1,16590376;53,04;2,864601181
28;40,07;1,427832182;39,41;3,32714414
29;41,22;1,266403537;48,44;4,111798733
30;41,05;1,250609964;34,81;3,933897021
31;40,89;1,287719342;55,5;2,993975748
32;43,02;1,447852063;53,2;3,06106796
33;45,32;1,385035548;63,22;2,974518526
34;43,19;1,068743483;47,45;2,702506206
35;45,48;1,571204351;64,04;4,014796233
36;47,45;1,344092593;50,08;3,224236042
37;48,11;1,233266212;48,77;3,438066227
38;49,1;1,342920175;66,01;3,009605858
39;49,26;1,164849207;62,23;2,460719592
40;50,25;1,518430562;68,31;2,645305012
41;50,74;1,110506849;47,62;2,857182062
42;51,07;1,153715675;72,58;2,400997192
43;50,9;0,966398359;70,61;2,053040277
44;47,95;1,22971418;63,05;2,775999826
45;47,45;1,028320757;60,92;2,65016552
46;49,92;1,299514762;53,37;2,953101322
47;51,07;1,017567347;53,86;3,000537987
48;50,57;1,419297269;51,72;3,808366474
49;54,68;1,626127815;51,4;3,609659551
50;58,78;1,376155061;65,35;3,353499427
51;59,11;1,240422462;60,92;3,178951961
52;61,58;1,368560783;58,46;2,966653778
53;60,26;1,150993592;55,99;3,228013406
54;55,83;0,976378768;73,07;3,732717574
55;55,17;1,110940696;62,4;2,940484097
56;55,99;1,186338288;66,17;2,711537725
57;63,38;1,067278355;70,77;2,71522178
58;64,53;1,160254435;62,56;2,650739547
59;63,22;1,312280866;56,81;2,954609281
60;64,53;1,33780716;65,19;3,23809533
61;65,85;1,308852621;72,25;2,841207004
62;64,86;1,164978947;68,64;2,492392666
63;65,19;0,967366909;72,58;2,598461089
64;66,17;1,164529036;69,62;2,289125559
65;65,19;0,903192911;67,32;2,536474591
66;67;1,04168508;74,55;2,542735837
67;63,22;1,024441281;52,87;2,885414353
68;64,7;1,299284396;71,26;2,495392575
69;63,88;0,894890881;58,95;2,471347472
70;69,79;1,202261385;64,53;2,463417951
71;70,77;0,992087132;74,55;2,831889438
72;71,92;1,250901228;74,55;2,250243945
73;71,92;1,293644948;74,38;2,263093965
74;72,74;1,126338013;73,23;2,681058943
75;73,56;1,024324682;77,01;1,914921712
76;74,38;1,093064071;71,26;1,961526778
77;74,38;1,054147567;65,68;2,452843529
78;73,23;1,163479334;64,7;2,152118406
79;76,03;0,94137925;79,15;2,801303054
80;76,03;1,105509888;76,35;1,813537532
81;76,03;0,906489543;70,44;2,372257315
82;76,19;1,106858652;75,04;2,4503875
83;77,18;1,226220194;64,04;2,217070211
84;77,18;1,156203466;72,58;2,677775924
85;77,18;1,61974792;77,34;2,176083752
86;77,67;1,027193341;66,83;2,217216123
87;78,16;0,996392232;78,65;2,228936353
88;77,01;0,723666387;66,34;1,996203369
89;77,83;1,144912784;72,91;2,419211016
90;78,65;1,267581487;75,86;1,925913494
91;77,67;0,837756622;70,11;2,477458234
92;78,33;0,824949858;80,95;2,051071607
93;77,18;0,994848687;79,15;1,870841857
94;76,52;0,791030482;77,83;2,223972834
95;79,47;1,396089105;84,56;2,173400393
96;79,47;0,802187755;78,98;2,005035986
97;78,98;1,037273573;78;2,064098723
98;79,47;1,399425327;70,44;2,466716259
99;79,31;0,957875639;82,92;2,005983502
100;77,5;0,79675175;79,8;2,078366713
101;79,97;0,914211494;78;2,03917784
102;80,3;1,006678954;80,79;2,156577187
103;81,12;1,121346529;86,54;2,159445473
104;80,46;0,752405769;77,01;2,058453543
105;80,79;0,883580539;74,55;2,149571689
106;80,95;1,065236019;81,77;1,966284261
107;80,46;0,951545851;82,43;1,838477583
108;81,44;1,06456209;77,83;2,164757404
109;83,09;1,5257527;83,91;2,117477098
110;82,1;0,852675032;82,92;1,899672264
111;83,09;0,923141115;78;2,054200874
112;83,25;1,10527525;83,25;1,934658762
113;84,07;1,020744786;77,83;1,820697774
114;83,91;0,821640237;74,22;2,116005684
115;83,42;1,243849231;83,09;2,237735788
116;84,07;0,820804155;79,8;2,092635544
117;83,58;0,865758503;83,25;2,287110659
118;83,74;0,911760568;73,56;2,127664985
119;83,09;0,99551109;81,12;2,199074747
120;85,06;1,117950105;79,97;1,541822014
121;84,73;0,826594297;85,39;1,768689908
122;83,91;0,842004951;81,44;1,768237811
123;83,58;1,051887895;78,49;1,821363346
124;83,25;0,848232018;84,4;2,098879201
125;83,74;0,788792289;86,54;2,102877043
126;83,91;0,661900304;86,37;1,832154459
127;83,91;0,821389268;85,39;2,121054931
128;83,91;0,651901537;85,39;1,894279344
129;82,92;0,762768605;84,89;1,584059925
130;83,25;0,860683997;81,44;1,877911502
131;84,4;0,836396845;84,89;1,692365738
132;84,56;0,828895583;84,24;2,015663501
133;83,42;0,883208571;88,01;1,856596241
134;83,42;1,016702542;86,37;1,657466322
135;85,39;0,883698636;84,73;1,489601284
136;86,04;0,840224751;83,42;1,803215198
137;86,04;0,872447256;84,73;1,941493912
138;84,56;0,637367395;86,21;2,030964796
139;86,54;1,04700079;87,36;1,699269002
140;86,54;0,72140173;87,19;1,872742565
141;87,68;0,922225036;85,88;1,53628007
142;86,54;0,947815;88,51;1,751919694
143;86,86;0,876072398;84,56;1,661378163
144;87,52;0,804786735;84,56;1,750668281
145;86,04;0,71059697;88,18;1,709667905
146;86,04;0,779926437;87,68;1,855675266
147;87,36;0,654088742;84,73;2,02320841
148;85,88;0,776040708;87,52;1,667159779
149;87,52;0,681103867;86,04;1,784006346
150;87,52;1,041033933;84,07;2,047328405
151;87,36;0,641223838;87,52;1,840956635
152;87,68;0,813798955;82,59;1,786663579
153;88,18;0,872911546;81,28;1,843842674
154;88,34;0,738986061;84,89;1,792250136
155;88,34;0,814141274;85,22;1,628671014
156;87,36;0,94061607;85,55;2,013128496
157;88,01;0,784302314;86,21;1,895042444
158;87,68;0,902406244;86,37;2,124769965
159;88,01;0,795901331;86,37;1,734069934
160;87,36;0,364825465;87,85;1,855281224
161;87,19;0,901335138;89,33;1,748654963
162;86,86;1,34185583;80,79;1,692851484
163;86,7;0,706924208;87,36;1,43042683
164;87,52;0,718781884;87,03;1,31178611
165;87,36;0,613314058;85,22;1,436378334
166;87,52;0,814834554;78,49;1,849084476
167;87,03;0,673266087;85,39;1,50417635
168;87,03;0,631741381;85,88;1,563942056
169;87,85;0,703762491;81,12;1,744412491
170;88,51;0,599187343;87,85;1,77793141
171;88,18;0,819662262;88,01;1,806905821
172;88,01;0,513036676;88,01;1,463950139
173;88,51;0,646250643;88,51;1,516682781
174;88,01;0,687909193;87,85;1,554195463
175;87,52;0,669907686;85,39;1,528922954
176;88,34;0,808277317;86,04;1,722658981
177;88,51;0,789314934;88,51;1,893325495
178;88,67;0,943491622;87,52;1,66463098
179;89;0,733639675;87,19;1,44814737
180;89,16;0,74486256;88,01;1,606008936
181;89,66;1,023982915;88,34;1,664822946
182;88,67;0,797540004;87,85;1,693817555
183;88,67;0,696191122;87,03;1,361377301
184;88,51;0,66745456;87,52;1,509273412
185;88,51;0,681011127;88,51;1,573925909
186;88,34;0,772109773;87,36;1,726333412
187;88,51;0,864951096;84,07;1,960236578
188;88,83;0,677097583;89;1,828110789
189;89;0,857640115;88,83;1,703938254
190;89,16;0,436235925;87,68;1,763686986
191;89,66;0,718130815;88,67;1,532593745
192;89,33;0,544111498;89,33;1,602907949
193;89,98;0,540989919;87,68;1,601206285
194;89,66;0,502856642;89,66;1,67785711
195;89,98;0,843014763;88,83;1,842549553
196;89,49;0,968822569;88,51;1,74590957
197;89,49;0,800869866;90,15;1,666755069
198;89,66;0,503010128;91,46;1,699704222
199;89,98;0,768939839;87,85;1,630235811
200;89,98;0,641183258;90,8;1,539641941
201;89,98;0,640651863;89,66;1,615411241
202;89,98;0,540718666;89,33;1,286472647
203;89,49;0,605893054;90,31;1,506642543
204;89,33;0,672475429;89,49;1,616661472
205;89,82;0,674614296;90,8;1,720238273
206;89,16;0,855401017;91,46;1,475932961
207;88,83;0,781832797;90,48;1,939112684
208;88,83;0,561414872;88,18;1,59015369
209;88,18;0,779384657;89,16;1,504342715
210;88,51;0,804765808;89,66;1,728175013
211;89;0,498616785;87,68;1,709098987
212;89,33;0,713871833;88,67;1,657304168
213;89,16;0,57521438;91,79;1,862270653
214;89;0,736553659;89,16;1,27379894
215;88,34;0,63406845;90,31;1,391280448
216;88,01;0,414096346;89;1,373294577
217;89,16;0,57017617;90,64;1,729811433
218;89,66;0,638299318;90,15;1,436141101
219;90,15;0,993750095;89,66;1,623563839
220;90,15;0,880646418;91,46;1,709574514
221;89,98;0,535560651;90,31;1,450152936
222;89,82;0,718577685;89,49;1,581708124
223;89,66;0,824539685;89,33;1,447518163
224;90,64;0,746926402;87,68;1,478764834
225;90,8;0,583249706;89,82;1,768878163
226;90,64;0,533212581;90,97;1,647366273
227;90,15;0,886215797;89,66;1,81109296
228;91,46;0,61271311;86,37;1,392047047
229;91,3;0,756787422;89;1,471941795
230;91,3;0,587954057;89;1,277467611
231;90,97;0,540380345;89,98;1,368782165
232;91,13;0,505240659;91,13;1,547394685
233;91,13;0,547468568;89,82;1,57453041
234;91,13;0,710760456;91,13;1,483389366
235;90,8;0,437797801;90,31;1,229309657
236;91,3;0,720773952;91,46;1,386561475
237;91,95;0,772958662;91,13;1,306278012
238;91,46;0,478150717;91,46;1,35134855
239;91,46;0,625273033;90,48;1,378650517
240;92,45;0,819251496;82,1;1,747755532
241;92,28;0,677931463;90,31;1,733788224
242;92,45;0,658471994;91,63;1,362018494
243;92,12;0,453852162;89;1,454719851
244;92,45;0,678477735;92,12;1,525145246
245;92,45;0,617812067;91,79;1,211221322
246;92,45;0,500440203;91,13;1,566077884
247;92,12;0,565218226;92,28;1,708589318
248;92,12;0,461726782;89,33;1,198411445
249;91,79;0,670657281;89,49;1,684402236
250;91,79;0,421958778;89;1,799395701
251;92,45;0,714626185;90,15;1,522624334
252;92,45;0,599620109;89,98;1,588831287
253;92,45;0,766657862;90,31;1,325992292
254;92,45;0,515014221;91,13;1,422427305
255;91,95;0,744320677;91,46;1,48457883
256;92,61;0,613552821;91,3;1,38575273
257;92,28;0,525878035;90,8;1,352080697
258;91,79;0,704080174;92,45;1,65077512
259;91,79;0,482903936;92,28;1,534020678
260;91,63;0,625139179;91,13;1,559274944
261;91,95;0,752620607;91,79;1,489930474
262;91,95;0,49558811;93,1;1,632360576
263;91,95;0,59450726;91,79;1,577113899
264;92,28;0,819656786;91,95;1,352810297
265;91,79;0,590737596;90,48;1,398288536
266;91,79;0,470588427;91,63;1,479465029
267;92,28;0,538450903;92,45;1,744753314
268;92,12;0,549035803;90,48;1,387759901
269;91,95;0,574539563;91,79;1,62815207
270;92,45;0,620091454;89,98;1,734888975
271;91,95;0,599102299;92,12;1,550175526
272;92,78;0,555504266;92,94;1,553788065
273;92,78;0,609180612;93,43;1,419184813
274;92,78;0,539693094;91,63;1,204102015
275;92,78;0,671157998;93,92;1,301991903
276;92,45;0,547348413;91,3;1,582502309
277;92,12;0,497803243;92,28;1,345805455
278;92,28;0,665758428;90,15;1,500467199
279;91,63;0,652527102;92,61;1,693792544
280;90,97;0,699007527;90,48;1,5167478
281;91,13;0,530933717;89,98;1,552203355
282;91,13;0,504507541;89,66;1,369151338
283;91,46;0,484977357;91,95;1,695506725
284;91,3;0,939666596;89,33;1,628055114
285;91,3;0,362539207;92,45;1,769915487
286;91,13;0,567152763;91,63;1,440667079
287;91,46;0,484922349;91,3;1,509107793
288;93,27;0,85301549;91,95;1,427913536
289;93,1;0,418317116;93,76;1,597096953
290;92,61;0,521246597;91,63;1,704409833
291;92,78;0,465040152;90,31;1,623810281
292;92,61;0,752237594;92,78;1,599781557
293;92,28;0,550616914;91,3;1,492708496
294;93,27;0,692346067;93,43;1,721516982
295;93,1;0,699555791;90,31;1,785235432
296;93,1;0,611678513;89,16;1,194337366
297;93,1;0,656302667;92,78;1,559163514
298;92,94;0,827155575;92,61;1,779997632
299;93,1;0,713700102;90,97;1,285190764
300;92,94;0,448368235;91,79;1,564873719
301;93,1;0,805214244;91,13;1,416470875
302;92,78;0,772395156;91,79;1,393445954
303;92,94;0,565766911;88,67;1,758273582
304;92,94;0,812698449;92,78;1,296293435
305;92,94;0,597863667;91,63;1,364985888
306;92,78;0,495888956;90,8;1,155619527
307;92,78;0,525290856;92,61;1,688916899
308;93,1;0,523624022;91,3;1,353647035
309;92,94;0,657888212;90,8;1,475194302
310;92,94;0,658163707;91,79;1,428093565
311;93,27;0,567019395;91,13;1,328472433
312;92,61;0,890707882;91,13;1,28726275
313;92,78;0,450053533;91,3;1,430208129
314;92,94;0,493502004;89,98;1,31363244
315;92,78;0,802683085;91,46;1,367493701
316;92,61;0,47284746;91,63;1,446761908
317;92,61;0,411299971;91,79;1,180047513
318;92,78;0,784605059;91,13;1,47748305
319;93,1;0,716178406;92,12;1,351975527
320;93,1;0,537186814;91,63;1,307231211
321;92,94;0,489786394;91,79;1,199263804
322;92,94;0,454248695;91,79;1,287183237
323;92,94;0,534226884;91,13;1,262998753
324;93,1;0,662566934;89,98;1,48154653
325;93,27;0,690466145;91,13;1,686897573
326;93,27;0,445770851;91,63;1,305732881
327;93,27;0,639480554;92,61;1,398233406
328;93,43;0,502490185;93,27;1,395632424
329;93,43;0,441204381;93,6;1,458488685
330;93,1;0,630765018;92,78;1,427637167
331;93,27;0,415691664;92,12;1,344598712
332;93,27;0,415321661;93,6;1,357105511
333;93,43;0,434091114;93,1;1,227886623
334;93,27;0,569611459;93,1;1,294654611
335;93,27;0,542567747;93,27;1,691507887
336;93,1;0,745563513;94,09;1,438250138
337;92,94;0,496743379;91,95;1,618404455
338;92,94;0,591527124;93,1;1,713892944
339;92,94;0,441791878;93,43;1,467031979
340;93,27;0,53118367;93,6;1,304791038
341;93,27;0,543675565;93,76;1,297393582
342;93,27;0,657391443;93,43;1,040413472
343;93,1;0,690363205;93,1;1,39254011
344;93,43;0,594061169;92,94;1,34367802
345;93,6;0,505740943;94,09;1,413204375
346;93,43;0,488755396;93,27;1,302240069
347;93,6;0,595747389;92,61;1,450864801
348;93,6;0,456646958;93,1;1,158722601
349;93,43;0,540498748;92,12;1,257999804
350;93,27;0,546228624;93,43;1,448001864
351;93,27;0,403846161;92,12;1,540801841
352;93,27;0,547672405;93,76;1,329062476
353;93,43;0,577934818;93,92;1,633158925
354;93,43;0,621288841;94,42;1,262261708
355;93,27;0,37692901;91,46;1,380642219
356;93,27;0,356377603;90,97;1,400711437
357;93,27;0,730726831;93,43;1,559534257
358;92,94;0,578733361;92,78;1,252522017
359;92,94;0,647521975;93,6;1,385537891
360;93,1;0,464493582;94,09;1,352022086
361;93,27;0,495382541;94,91;1,075120536
362;93,1;0,884680586;93,43;1,264229731
363;92,94;0,512553312;93,27;1,49121082
364;92,61;0,417630706;93,92;1,179567848
365;92,61;0,372647452;93,76;1,332297663
366;93,1;0,543389255;94,09;1,421140428
367;92,94;0,753872436;92,78;1,31870306
368;92,94;0,385219853;93,1;1,39229082
369;93,1;0,440478814;92,61;1,309850283
370;93,1;0,553693968;92,78;1,328165329
371;93,27;0,50892087;92,61;1,423078183
372;93,1;0,426851164;92,28;1,242142237
373;93,76;0,640513108;93,92;1,457547881
374;93,6;0,686455604;94,75;1,531874863
375;93,76;0,632113713;92,45;1,390331928
376;93,76;0,403072491;91,95;1,363790985
377;93,43;0,448042335;91,46;1,445970277
378;93,76;0,628331245;94,58;1,326334955
379;93,76;0,496335937;92,28;1,265301217
380;93,6;0,569559678;94,09;1,14448396
381;93,6;0,524561257;95,73;1,590636425
382;93,6;0,494850247;93,92;1,463841045
383;93,6;0,66769496;93,1;1,250346704
384;93,6;0,541170441;93,43;1,570928853
385;93,6;0,657176919;95,24;1,643784079
386;93,6;0,316596763;94,91;1,417654384
387;93,92;0,700240839;94,75;1,268212912
388;93,92;0,60913667;94,42;1,453382358
389;93,92;0,486233497;95,57;1,328615415
390;94,09;0,44670378;93,92;1,21038388
391;93,92;0,854995591;93,92;1,161765692
392;94,09;0,642325458;95,07;1,424794058
393;94,42;0,505040071;92,78;1,004288552
394;93,92;0,507299101;94,58;1,505409969
395;94,09;0,589132022;95,4;1,238932484
396;93,76;0,419007981;96,06;1,265561152
397;94,09;0,625856437;94,91;1,174181412
398;94,09;0,399669715;95,24;1,37535408
399;94,09;0,562471259;95,07;1,389571188
400;94,09;0,450544426;95,73;1,384721683
