epoch;evaluation_0;error_0;evaluation_1;error_1;evaluation_2;error_2;;avg eval;avg error
0;7,22;0;10,67;0;9,2;0;;9,03;0
1;7,06;5,471719253;10,67;4,021734296;9,36;3,403735382;;9,03;4,299062977
2;6,73;5,781934431;11,17;4,589364023;9,69;3,859278884;;9,196666667;4,74352578
3;6,24;5,245810234;11,17;4,160791488;9,52;3,753305313;;8,976666667;4,386635678
4;6,4;5,825403096;11,33;4,023801193;9,69;4,146659266;;9,14;4,665287852
5;6,73;5,294181079;11,49;3,493988678;9,69;4,242725864;;9,303333333;4,343631874
6;6,08;5,220284317;11,66;3,691472933;10,02;4,188834094;;9,253333333;4,366863781
7;6,4;4,423123561;11,49;3,636797594;10,02;3,578885181;;9,303333333;3,879602112
8;6,4;4,81326126;11,49;3,889859614;9,85;3,849682882;;9,246666667;4,184267919
9;6,24;5,079915505;11,82;3,303540438;9,85;3,355175802;;9,303333333;3,912877248
10;6,24;4,201862238;11,66;3,315572493;9,69;3,027736182;;9,196666667;3,515056971
11;6,08;4,626681065;12,15;3,562589823;9,36;3,275597392;;9,196666667;3,82162276
12;6,08;4,372705336;11,49;3,709339905;9,36;2,713856123;;8,976666667;3,598633788
13;6,08;4,024601277;11,99;3,269353809;9,69;2,934408417;;9,253333333;3,409454501
14;6,24;3,63776713;12,64;3,602068713;9,03;2,58675209;;9,303333333;3,275529311
15;6,24;3,971821846;12,15;2,574820169;8,87;3,109465958;;9,086666667;3,218702657
16;6,24;4,079981561;11,66;3,138598431;8,87;3,748813584;;8,923333333;3,655797859
17;6,24;3,648935535;11,66;3,378880292;8,87;2,703276776;;8,923333333;3,243697535
18;6,24;3,816024903;11,82;2,953783374;9,03;2,721775982;;9,03;3,16386142
19;6,24;4,185392426;11,82;2,439931281;9,03;2,852133969;;9,03;3,159152559
20;6,24;4,432410945;11,82;2,97873625;8,37;3,271026296;;8,81;3,560724497
21;5,91;3,590454571;11,66;2,825344936;8,21;2,366902216;;8,593333333;2,927567241
22;5,75;3,750780979;11,99;3,090841717;8,7;2,74551604;;8,813333333;3,195712912
23;5,75;3,785422309;12,15;2,649713892;8,37;2,410555011;;8,756666667;2,948563737
24;5,58;3,65235378;12,32;2,486149677;8,7;2,382047895;;8,866666667;2,840183784
25;5,58;3,62725478;12,48;3,464188809;9,03;1,98187683;;9,03;3,02444014
26;5,75;3,326450992;13,79;2,272035395;9,03;2,198508036;;9,523333333;2,598998141
27;5,75;3,724316435;13,3;3,162666474;8,87;1,984087744;;9,306666667;2,957023551
28;5,75;3,212130032;13,79;2,892783596;8,87;2,03761705;;9,47;2,714176893
29;5,25;3,23222415;13,14;2,937388771;9,2;2,148329249;;9,196666667;2,77264739
30;5,42;3,11292989;13,46;2,249293178;9,36;1,908333998;;9,413333333;2,423519022
31;5,75;2,902669482;12,97;2,474002816;9,52;1,645785171;;9,413333333;2,340819157
32;5,58;3,472152555;13,46;2,655429345;9,69;1,899434903;;9,576666667;2,675672267
33;4,93;3,371398766;13,79;2,577182563;9,85;1,97018695;;9,523333333;2,639589426
34;5,58;3,275535854;13,96;2,057295713;10,02;1,636882834;;9,853333333;2,323238134
35;5,58;3,353708205;14,29;2,729924899;10,18;1,792011033;;10,01666667;2,625214712
36;5,58;2,852615759;13,96;2,543115731;10,34;1,885390024;;9,96;2,427040505
37;5,91;3,074624054;14,12;2,115693167;11,17;1,982039893;;10,4;2,390785705
38;6,4;2,941528328;14,12;1,991410186;11;2,058720906;;10,50666667;2,33055314
39;6,08;3,227576677;14,29;2,343586781;11;1,359253023;;10,45666667;2,310138827
40;6,4;3,320383804;14,29;2,275764264;11,33;1,718123323;;10,67333333;2,438090463
41;6,24;2,554913701;15,27;2,414271843;11,49;1,752764061;;11;2,240649868
42;6,4;2,608332315;15,27;1,656147603;11;1,474177218;;10,89;1,912885712
43;6,73;2,946993124;15,93;1,951876048;10,84;1,724006836;;11,16666667;2,207625336
44;6,9;2,64318783;16,09;2,068305456;10,84;1,54982697;;11,27666667;2,087106752
45;7,22;2,580042746;17,08;1,727250533;10,84;1,677152062;;11,71333333;1,994815114
46;7,22;2,978030698;17,08;2,064232572;11,33;1,326777409;;11,87666667;2,12301356
47;7,55;2,959367948;17,41;2,089010014;11,82;1,685008962;;12,26;2,244462308
48;7,55;2,677597078;17,41;1,806994974;12,32;1,47790673;;12,42666667;1,987499594
49;7,88;2,006466573;17,73;1,942100585;12,32;1,457702898;;12,64333333;1,802090019
50;8,37;2,744550501;17,24;1,559870614;11,99;1,327411796;;12,53333333;1,877277637
51;8,37;2,575164349;16,26;2,454262363;12,15;1,298314558;;12,26;2,10924709
52;8,21;2,708148655;16,91;1,699325158;12,15;1,488246347;;12,42333333;1,965240053
53;8,37;2,438150919;17,41;1,594437745;12,81;1,338911581;;12,86333333;1,790500082
54;8,37;2,931485302;17,73;1,782158714;13,14;1,515253295;;13,08;2,076299104
55;8,21;3,11259825;17,41;1,710744642;13,79;1,226035572;;13,13666667;2,016459488
56;8,21;2,779877363;17,41;2,290125135;13,63;1,588470126;;13,08333333;2,219490874
57;8,37;2,616304471;17,08;1,969031785;14,45;1,323295673;;13,3;1,969543976
58;8,21;2,83186454;17,57;1,506724397;14,78;1,138816448;;13,52;1,825801795
59;8,37;2,595316206;18,06;1,717413791;15,11;1,226651315;;13,84666667;1,846460437
60;8,37;2,438400776;18,23;1,687054947;15,11;1,241411088;;13,90333333;1,788955604
61;8,37;2,838785089;18,39;1,852350319;15,11;1,707214363;;13,95666667;2,132783257
62;8,7;2,424642042;18,39;1,396147046;15,76;1,328846726;;14,28333333;1,716545271
63;9,2;2,601325206;18,56;1,618264827;16,09;1,208517322;;14,61666667;1,809369118
64;9,2;2,129987674;19,21;1,581065571;16,42;1,253597434;;14,94333333;1,65488356
65;9,2;2,39259451;19,21;1,562350137;15,6;1,340249997;;14,67;1,765064881
66;9,2;2,596479836;19,54;1,601345644;15,44;1,404894512;;14,72666667;1,86757333
67;9,2;2,00085308;19,54;1,623443049;15,93;1,366730231;;14,89;1,663675453
68;9,36;2,402887234;19,87;1,5003666;16,58;0,954889784;;15,27;1,619381206
69;9,52;2,328217348;19,38;1,26547882;16,91;1,445973304;;15,27;1,679889824
70;9,36;2,357553607;20,2;1,570498183;17,24;1,294096111;;15,6;1,740715967
71;9,36;2,227497042;20,36;1,264157616;17,08;1,497080829;;15,6;1,662911829
72;9,52;2,825538948;20,53;1,950796925;16,75;1,654120537;;15,6;2,14348547
73;9,52;2,295644263;20,36;1,848134502;16,75;1,23672785;;15,54333333;1,793502205
74;9,52;2,138465082;20,36;1,703037064;17,41;1,322545744;;15,76333333;1,721349297
75;9,36;2,293240022;20,36;1,837552209;18,23;1,411852876;;15,98333333;1,847548369
76;9,52;2,041729892;20,85;1,534079279;18,88;1,387672949;;16,41666667;1,65449404
77;9,52;1,746886505;20,36;1,610471092;18,72;1,256944722;;16,2;1,538100773
78;9,52;2,335418746;21,35;1,36701569;18,06;1,416122419;;16,31;1,706185618
79;9,85;2,016738379;21,02;1,53265929;18,06;1,481099318;;16,31;1,676832329
80;9,52;1,803808248;21,51;1,570111265;18,56;1,187280057;;16,53;1,520399857
81;9,85;1,951440209;22;1,181238891;18,23;1,244686324;;16,69333333;1,459121808
82;9,85;2,076459633;22,5;1,576383637;18,23;1,192448011;;16,86;1,615097094
83;10,18;1,889464456;22,5;1,378528652;18,06;1,015148916;;16,91333333;1,427714008
84;10,02;1,520191555;22,33;1,195200903;18,23;1,430041829;;16,86;1,381811429
85;10,02;1,710699383;22,33;1,303714035;18,39;1,303521033;;16,91333333;1,439311484
86;10,02;1,717086345;22,99;1,646672481;18,72;1,346090927;;17,24333333;1,569949918
87;10,18;2,208900094;23,15;1,452192654;18,88;1,132399818;;17,40333333;1,597830855
88;10,02;2,276770355;23,15;1,327737997;18,88;1,333505652;;17,35;1,646004668
89;10,18;1,95233108;23,48;1,469586771;19,54;1,269281599;;17,73333333;1,56373315
90;10,18;2,098263627;23,65;1,644241788;20,03;1,130916297;;17,95333333;1,624473904
91;9,85;2,138281244;23,97;1,478431588;20,36;1,341888052;;18,06;1,652866961
92;9,85;1,876722577;24,14;1,33393502;20,2;1,214792424;;18,06333333;1,475150007
93;9,85;2,200930871;24,14;1,247735317;20,36;1,086061393;;18,11666667;1,51157586
94;9,85;1,565811372;23,97;1,443564189;20,85;1,37355846;;18,22333333;1,460978007
95;10,02;1,719250244;24,3;1,504802637;20,85;1,144902119;;18,39;1,456318333
96;10,02;2,230892543;24,14;1,299419168;21,02;1,371013819;;18,39333333;1,633775177
97;10,02;1,703505868;24,63;1,570914991;21,18;1,168084608;;18,61;1,480835155
98;10,18;1,516832293;24,96;1,19249373;21,35;1,308104247;;18,83;1,339143424
99;10,02;2,046195165;25,12;1,469566302;21,35;1,216350273;;18,83;1,57737058
100;10,18;1,711561796;24,63;1,380495946;21,51;1,065299739;;18,77333333;1,385785827
101;10,34;2,440411911;25,29;1,409366365;21,67;1,238022205;;19,1;1,695933494
102;10,18;1,858290016;25,62;1,512482957;21,51;1,20599915;;19,10333333;1,525590708
103;10,02;1,851660475;25,94;1,192136135;21,51;1,216676453;;19,15666667;1,420157687
104;10,34;1,935731396;25,94;1,356523606;21,84;1,083119553;;19,37333333;1,458458185
105;10,51;1,597146881;25,78;1,308869765;21,84;1,007076739;;19,37666667;1,304364462
106;10,51;2,029472777;25,45;1,487386976;21,67;1,073245696;;19,21;1,53003515
107;10,51;1,716943696;25,62;1,310395922;21,51;1,306393331;;19,21333333;1,44457765
108;10,67;2,001742301;25,78;1,343900465;21,67;1,503728971;;19,37333333;1,616457246
109;10,51;2,036425419;26,27;1,125349136;21,84;1,211108056;;19,54;1,457627537
110;10,67;1,554595374;26,27;1,368011634;22;1,245161061;;19,64666667;1,389256023
111;10,51;1,931507731;26,44;1,283420052;22;1,171641229;;19,65;1,462189671
112;10,51;1,756367722;27,26;1,24290846;22,33;1,036424424;;20,03333333;1,345233535
113;11;1,398548425;26,93;1,313789795;22,17;1,126847587;;20,03333333;1,279728602
114;11;1,781354874;27,59;1,324669639;22,82;1,241449053;;20,47;1,449157855
115;10,84;2,291893396;27,75;1,330393052;22,5;1,230489837;;20,36333333;1,617592095
116;10,84;1,529930454;27,75;1,237937585;22,82;1,274030357;;20,47;1,347299466
117;10,84;1,951831186;27,91;1,299775622;23,65;1,087850124;;20,8;1,446485644
118;10,84;1,677971508;28,08;1,100560496;23,97;1,309550294;;20,96333333;1,362694099
119;11,33;1,649740142;27,91;1,408220427;23,97;0,958286819;;21,07;1,338749129
120;11,17;2,067117863;27,42;1,279545408;23,97;1,092482871;;20,85333333;1,479715381
121;11,33;1,812017251;27,42;1,596885205;23,97;1,238805181;;20,90666667;1,549235879
122;11;2,119469318;27,42;1,223701536;23,81;1,047107849;;20,74333333;1,463426235
123;11;2,069329236;27,59;1,293201694;23,65;1,40422879;;20,74666667;1,588919907
124;11,17;1,993162549;27,42;1,277126993;23,48;1,393082641;;20,69;1,554457394
125;11,33;2,008410322;27,42;1,104820728;23,48;1,128444416;;20,74333333;1,413891822
126;11,17;1,782688478;27,75;1,447424969;23,48;1,063969784;;20,8;1,431361077
127;11,17;1,907384421;28,08;1,460939362;23,97;1,108260628;;21,07333333;1,492194803
128;11;1,559172341;28,41;1,215078243;24,14;1,066608102;;21,18333333;1,280286229
129;10,84;2,033552457;28,24;1,218193338;23,81;1,0729987;;20,96333333;1,441581498
130;11;1,826058498;28,24;1,292119096;23,97;1,221462973;;21,07;1,446546856
131;11;1,892347507;28,08;1,295024957;23,97;1,197391763;;21,01666667;1,461588076
132;11;1,809211516;28,41;1,408310277;23,97;1,061458845;;21,12666667;1,426326879
133;10,84;1,747776821;28,57;1,213625562;23,81;1,043318953;;21,07333333;1,334907112
134;11,33;2,008562312;28,57;1,360848078;23,97;1,15986413;;21,29;1,509758173
135;11,33;1,549264492;28,57;1,377958762;24,14;1,122791667;;21,34666667;1,350004974
136;11,33;1,814899193;28,41;1,208334756;23,97;1,126724571;;21,23666667;1,383319507
137;11,49;1,680548977;28,41;1,688825551;23,97;1,133422406;;21,29;1,500932311
138;11,33;2,107688531;28,74;1,183469343;23,97;1,113578879;;21,34666667;1,468245584
139;11,66;1,809370332;29,23;1,158987909;24,3;1,318280215;;21,73;1,428879485
140;11,49;1,815277417;29,06;1,080733324;24,3;1,105536524;;21,61666667;1,333849088
141;11,33;1,927310442;29,39;1,258652762;24,63;1,41585982;;21,78333333;1,533941008
142;11,33;1,752703202;29,72;1,424327218;24,96;1,10291024;;22,00333333;1,426646887
143;11,33;1,795955731;29,39;1,683453337;24,63;1,244816161;;21,78333333;1,574741743
144;11,17;1,8106929;29,72;1,238406998;24,63;1,09122889;;21,84;1,380109596
145;11,17;1,760127472;30,21;1,137958292;25,45;0,895219937;;22,27666667;1,264435234
146;11,17;2,137928289;30,21;1,070927462;25,12;1,314943047;;22,16666667;1,507932932
147;11;1,968566762;29,72;1,466933551;25,29;1,035573946;;22,00333333;1,490358086
148;11,17;1,898701012;30,71;1,064710895;25,45;1,151755737;;22,44333333;1,371722548
149;11;2,05581958;30,71;1,036117966;25,45;1,10257031;;22,38666667;1,398169285
150;11,17;1,843280702;30,38;1,462284934;25,45;1,035010221;;22,33333333;1,446858619
151;11,17;1,65307983;30,21;1,201364572;25,12;1,148006969;;22,16666667;1,334150457
152;11,33;1,776941015;30,21;1,079417873;25,12;0,937219669;;22,22;1,264526186
153;11,82;1,768333067;30,38;1,18939246;25,29;1,20554525;;22,49666667;1,387756925
154;11,99;1,376782406;30,71;1,075582194;25,45;1,267718073;;22,71666667;1,240027558
155;11,99;1,730633139;31,36;1,260772274;25,29;1,276498151;;22,88;1,422634521
156;11,82;1,626345961;31,53;1,273763532;25,45;0,985782087;;22,93333333;1,295297193
157;12,15;1,853622361;32,02;1,518633817;25,29;1,240530109;;23,15333333;1,537595429
158;12,32;1,777996427;31,53;1,147911407;25,62;1,107805642;;23,15666667;1,344571159
159;12,48;1,798606514;31,86;1,645257811;25,62;1,360902239;;23,32;1,601588855
160;12,48;1,877083019;32,02;1,091172271;25,94;1,149891627;;23,48;1,372715639
161;12,48;1,662905382;32,02;1,070314135;25,94;1,105045393;;23,48;1,279421636
162;12,81;1,725201507;32,35;1,07248352;26,44;0,976753938;;23,86666667;1,258146322
163;13,14;1,861303197;32,68;1,22792062;26,27;1,033510013;;24,03;1,37424461
164;14,12;1,526867307;32,51;1,112694185;26,27;1,112299768;;24,3;1,25062042
165;14,12;1,871127981;32,35;1,196095708;26,77;1,223977143;;24,41333333;1,430400277
166;14,45;1,750156882;32,02;1,301781085;26,77;1,095058075;;24,41333333;1,382332014
167;14,78;1,755712544;32,68;1,173484984;26,77;1,113808121;;24,74333333;1,34766855
168;15,6;1,735675165;32,35;1,167404487;26,93;1,183989134;;24,96;1,362356262
169;15,44;1,85397839;32,51;1,216070922;26,77;1,085943386;;24,90666667;1,385330899
170;15,93;1,959892438;32,68;1,074178329;26,77;1,16915722;;25,12666667;1,401075996
171;16,42;1,866113397;32,51;1,380537358;27,26;1,157374474;;25,39666667;1,46800841
172;17,41;1,798859103;33,17;1,1232293;27,42;1,033810018;;26;1,318632807
173;17,57;1,707072721;33,17;1,181479469;27,75;1,051326624;;26,16333333;1,313292938
174;18,06;1,773500777;33,17;1,019916282;27,91;1,121341059;;26,38;1,304919373
175;18,23;1,610374281;33;0,827362693;28,08;1,080487551;;26,43666667;1,172741508
176;18,23;1,274455095;33,17;1,189387637;27,75;1,018351239;;26,38333333;1,160731324
177;19,87;1,447282562;33,33;1,032410197;27,75;0,907033901;;26,98333333;1,128908886
178;20,36;1,641506299;33,66;1,256641993;28,24;0,876762031;;27,42;1,258303441
179;21,18;1,582939765;33,66;1,160656971;28,08;1,093316201;;27,64;1,278970979
180;21,51;1,354834882;34,15;1,20659898;28,08;0,953757118;;27,91333333;1,171730327
181;21,84;1,316916394;33,99;0,998936497;28,08;1,11100835;;27,97;1,14228708
182;23,32;1,244668824;33,83;1,185070023;28,24;1,022745858;;28,46333333;1,150828235
183;25,45;1,255632934;33,66;1,170933717;28,24;1,186952916;;29,11666667;1,204506522
184;26,11;1,283034356;33,66;1,279520706;28,57;1,046007358;;29,44666667;1,20285414
185;27,09;1,48207869;33,66;1,183027764;28,24;1,01157231;;29,66333333;1,225559588
186;27,09;1,371939526;33,66;0,999216338;28,9;1,212675075;;29,88333333;1,194610313
187;27,26;1,094764271;33,5;1,000636617;28,41;1,163193699;;29,72333333;1,086198195
188;28,9;1,510775093;33,66;1,152941227;28,41;1,055999742;;30,32333333;1,239905354
189;29,39;1,402875471;33,33;0,936298773;28,41;1,058242696;;30,37666667;1,132472313
190;29,06;1,371417638;33,17;1,040236462;28,57;1,072920941;;30,26666667;1,161525014
191;29,23;1,257677202;33,33;1,453227756;28,41;1,303158093;;30,32333333;1,338021017
192;29,56;1,379236338;33,5;1,203380568;28,41;1,208724189;;30,49;1,263780365
193;29,89;1,211944258;33,33;1,029615768;29,06;1,103995697;;30,76;1,115185241
194;30,71;1,510740915;33,5;1,170521506;28,9;1,028987911;;31,03666667;1,236750111
195;30,71;1,110148626;33,5;0,970705145;28,9;1,041468154;;31,03666667;1,040773975
196;31,2;1,320564329;33,66;1,034884468;29,56;1,43973788;;31,47333333;1,265062226
197;31,53;1,328434857;33,99;1,15714905;29,56;0,997129717;;31,69333333;1,160904541
198;31,86;1,430144393;34,15;1,151940288;29,89;1,274552749;;31,96666667;1,28554581
199;32,35;1,152079576;33,99;0,956616678;29,72;0,953851948;;32,02;1,020849401
200;32,68;1,059960691;34,15;0,611014808;29,72;1,154931352;;32,18333333;0,94196895
